Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
18/11/2004,"Brazil NovaGerar Landfill Gas to Energy Project",Brazil,Netherlands/ Italy/ Luxembourg/ Switzerland/ Japan/ Spain,AM0003,670133,0008
11/01/2005,"RIO BLANCO Small Hydroelectric Project",Honduras,Finland,AMS-I.D. ver. 4,17800,0028
08/03/2005,"Project for GHG emission reduction by thermal oxidation of HFC 23 in Gujarat, India.",India,Switzerland/ Japan/ Netherlands/ Italy/ United Kingdom of Great Britain and Northern Ireland,AM0001 ver. 2,3000000,0001
24/03/2005,"HFC Decomposition Project in Ulsan",Republic of Korea,Switzerland/ Japan,AM0001 ver. 2,1400000,0003
23/04/2005,"Cuyamapa Hydroelectric Project",Honduras,Austria/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,35660,0045
23/05/2005,"e7 Bhutan Micro Hydro Power CDM Project",Bhutan,Japan,AMS-I.A. ver. 5,524,0062
23/05/2005,"Biomass in Rajasthan - Electricity generation from mustard crop residues",India,Netherlands/ Germany,AMS-I.D. ver. 5,31374,0058
03/06/2005,"Cortecito and San Carlos Hydroelectric Project",Honduras,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,37466,0051
03/06/2005,"Santa Cruz landfill gas combustion project",Bolivia,,AM0003 ver. 1,82680,0048
26/06/2005,"Huitengxile Windfarm Project",China,Netherlands,AM0005,51429,0064
Withdrawn,"Paramonga CDM Bagasse Boiler Project",Peru,,AMS-I.C. ver. 5,85300,0070
18/07/2005,"Graneros Plant Fuel Switching Project",Chile,Japan,AM0008,13543,0024
18/07/2005,"5 MW Dehar Grid-connected SHP in Himachal Pradesh, India",India,Germany,AMS-I.D. ver. 5,16374,0035
06/08/2005,"Clarion 12MW (Gross) Renewable Sources Biomass Power Project",India,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,26300,0075
15/08/2005,"Salvador da Bahia Landfill Gas Management Project",Brazil,Switzerland/ Japan/ Netherlands/ Germany/ United Kingdom of Great Britain and Northern Ireland,AM0002,664674,0052
19/08/2005,"La Esperanza Hydroelectric Project",Honduras,Canada/ Netherlands/ Italy/ Denmark/ Finland/ Austria/ Luxembourg/ Belgium/ Sweden/ Germany/ Switzerland/ Japan/ Norway/ Spain,AMS-I.D. ver. 4,37032,0009
27/08/2005,"Kuyasa low-cost urban housing energy upgrade project, Khayelitsha (Cape Town; South Africa)",South Africa,Germany,AMS-I.C. ver. 5/ AMS-II.C. ver. 5/ AMS-II.E. ver. 5,6580,0079
02/09/2005,"Methane capture and combustion from swine manure treatment for Corneche and Los Guindos",Chile,Japan/ New Zealand/ United Kingdom of Great Britain and Northern Ireland,AM0006,84083,0031
02/09/2005,"Methane capture and combustion from swine manure treatment for Peralillo",Chile,Canada/ Japan/ New Zealand/ United Kingdom of Great Britain and Northern Ireland,AM0006,78867,0032
02/09/2005,"Methane capture and combustion from swine manure treatment for Pocillas and La Estrella",Chile,Canada/ Japan/ New Zealand/ United Kingdom of Great Britain and Northern Ireland,AM0006,247428,0033
17/09/2005,"Landfill gas extraction on the landfill Villa Dominico, Buenos Aires, Argentina",Argentina,Netherlands,AM0011,588889,0072
17/09/2005,"Landfill Gas Extraction and Utilization at the Matuail landfill site, Dhaka, Bangladesh",Bangladesh,,ACM0001/ ACM0002 ver. 2,80000,0078
23/09/2005,"Tétouan Wind Farm Project for Lafarge Cement Plant",Morocco,France,AMS-I.D. ver. 5,28651,0042
23/09/2005,"SRS Bagasse Cogeneration Project",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,22000,0080
01/10/2005,"Vaturu and Wainikasou Hydro Projects",Fiji,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 5,24928,0089
