warehouseUnitId,issuanceId,projectLocationId,orgUid,unitOwner,countryJurisdictionOfOwner,inCountryJurisdictionOfOwner,serialNumberBlock,unitBlockStart,unitBlockEnd,unitCount,vintageYear,unitType,marketplace,marketplaceLink,marketplaceIdentifier,unitTags,unitStatus,unitStatusReason,unitRegistryLink,correspondingAdjustmentDeclaration,correspondingAdjustmentStatus,timeStaged,createdAt,updatedAt,labels,issuance
4dbc5298-3b7e-48a4-94a9-d2fc7702cd41,823eee95-56d5-4d81-aa8f-497ac913af41,12f9a2b5-0594-47e3-99bd-76f229585947,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,China,China,China,890120525-890120613,890120525,890120613,89,2013,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/OJD7SP7L09RFQJIYBKBOSX6IBP40SX/view.html,Unknown,Not Applicable,1712137814,2024-04-03T11:01:15.763Z,2024-04-03T11:01:15.763Z,[],"{'id': '823eee95-56d5-4d81-aa8f-497ac913af41', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '12f9a2b5-0594-47e3-99bd-76f229585947', 'startDate': '2013-01-01T00:00:00.000Z', 'endDate': '2013-08-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2008-12-06T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-03-23T17:02:04.552Z', 'updatedAt': '2024-03-23T17:02:04.552Z'}"
dfa3bddd-a5b6-4334-9a76-d00e5e9087ae,ff42b481-b1b4-4640-a0df-0a80d71cbd0d,2b0d9e60-b80f-466d-88fc-681bed560163,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,El Salvador,El Salvador,El Salvador,2498228-2498727,2498228,2498727,500,2015,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/FNZVP150WH7BQGSPBZLA8FPRS00I68/view.html,Unknown,Not Applicable,1712137814,2024-04-03T11:01:16.230Z,2024-04-03T11:01:16.230Z,[],"{'id': 'ff42b481-b1b4-4640-a0df-0a80d71cbd0d', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '2b0d9e60-b80f-466d-88fc-681bed560163', 'startDate': '2015-01-01T00:00:00.000Z', 'endDate': '2015-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2007-01-01T00:00:00.000Z', 'verificationBody': 'AENOR', 'timeStaged': None, 'createdAt': '2024-03-25T05:05:47.412Z', 'updatedAt': '2024-03-25T05:05:47.412Z'}"
2a19bcdd-48d5-4a23-a6ba-1c2845512420,a7c2eaa2-f79d-4c8a-8f2f-4500ce84a257,72579474-bf57-482c-9e55-3a7c94c7d2be,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Brazil,Brazil,Brazil,71460877-71461788,71460877,71461788,912,2009,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/H3DANDW02AFT7BDAMCEXLQ4UUXRMXM/view.html,Unknown,Not Applicable,1712137814,2024-04-03T11:01:16.507Z,2024-04-03T11:01:16.507Z,[],"{'id': 'a7c2eaa2-f79d-4c8a-8f2f-4500ce84a257', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '72579474-bf57-482c-9e55-3a7c94c7d2be', 'startDate': '2008-11-01T00:00:00.000Z', 'endDate': '2010-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2004-01-01T00:00:00.000Z', 'verificationBody': 'BVCH', 'timeStaged': None, 'createdAt': '2024-03-25T10:50:02.643Z', 'updatedAt': '2024-03-25T10:50:02.643Z'}"
8551b1a7-d23b-4e50-b255-46730a7b4392,b936be2f-d060-4967-99b2-6a0dbe003b1e,488f8762-2463-4ef9-b437-08244809976e,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,China,China,China,870554872-870654871,870554872,870654871,100000,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/2YD3JZ9KR20ZGX2FXX8B7NBQKJ7DHX/view.html,Unknown,Not Applicable,1712137814,2024-04-03T11:01:16.628Z,2024-04-03T11:01:16.628Z,[],"{'id': 'b936be2f-d060-4967-99b2-6a0dbe003b1e', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '488f8762-2463-4ef9-b437-08244809976e', 'startDate': '2012-08-30T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2011-02-27T00:00:00.000Z', 'verificationBody': 'GLC', 'timeStaged': None, 'createdAt': '2024-03-21T05:43:01.033Z', 'updatedAt': '2024-03-21T05:43:01.033Z'}"
96c54375-ccba-4107-9bcd-da299e23e24d,5d366688-47d1-4998-aad8-9f9ac598f396,834999f0-6276-4b97-8d6e-8981100bbb13,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,241300939-241301122,241300939,241301122,184,2015,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/J0B7MBQDXCO4MTBIW1UN75B4OGRTX8/view.html,Unknown,Not Applicable,1712137813,2024-04-03T11:01:14.948Z,2024-04-03T11:01:14.948Z,[],"{'id': '5d366688-47d1-4998-aad8-9f9ac598f396', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '834999f0-6276-4b97-8d6e-8981100bbb13', 'startDate': '2015-11-01T00:00:00.000Z', 'endDate': '2016-05-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2008-04-05T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-03-23T21:22:43.109Z', 'updatedAt': '2024-03-23T21:22:43.109Z'}"
4e0f1282-d315-442e-8bb3-3aac6ffc5690,29d7803d-8504-4ed5-b42f-03e055c68ed3,9622d9a1-8dc5-4256-b5e5-564c967f0786,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,218716678-218717195,218716678,218717195,518,2014,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/GU47FOITYTV5704RLN2KKQ8Q8O57QV/view.html,Unknown,Not Applicable,1712137813,2024-04-03T11:01:15.306Z,2024-04-03T11:01:15.306Z,[],"{'id': '29d7803d-8504-4ed5-b42f-03e055c68ed3', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '9622d9a1-8dc5-4256-b5e5-564c967f0786', 'startDate': '2013-01-01T00:00:00.000Z', 'endDate': '2015-03-09T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2011-03-30T00:00:00.000Z', 'verificationBody': 'Earthood', 'timeStaged': None, 'createdAt': '2024-03-24T07:43:12.462Z', 'updatedAt': '2024-03-24T07:43:12.462Z'}"
30c90e25-e27c-4af1-9133-cd295dadf157,62f5c2ed-a5df-46ef-a940-d4a03d58344b,4d544cca-47c9-4842-81de-925c58f06c8c,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,177232228-177250554,177232228,177250554,18327,2010,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/A974KPIIKRTFL6DTHD4FLB7XV7H4XI/view.html,Unknown,Not Applicable,1712137813,2024-04-03T11:01:16.552Z,2024-04-03T11:01:16.552Z,[],"{'id': '62f5c2ed-a5df-46ef-a940-d4a03d58344b', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '4d544cca-47c9-4842-81de-925c58f06c8c', 'startDate': '2010-01-12T00:00:00.000Z', 'endDate': '2011-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2010-01-12T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-03-21T12:57:09.644Z', 'updatedAt': '2024-03-21T12:57:09.644Z'}"
11b195f9-65c1-4824-ac48-9d5012b75aa6,62f5c2ed-a5df-46ef-a940-d4a03d58344b,4d544cca-47c9-4842-81de-925c58f06c8c,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,177250555-177252227,177250555,177252227,1673,2010,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/A974KPIIKRTFL6DTHD4FLB7XV7H4XI/view.html,Unknown,Not Applicable,1712137813,2024-04-03T11:01:16.773Z,2024-04-03T11:01:16.773Z,[],"{'id': '62f5c2ed-a5df-46ef-a940-d4a03d58344b', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '4d544cca-47c9-4842-81de-925c58f06c8c', 'startDate': '2010-01-12T00:00:00.000Z', 'endDate': '2011-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2010-01-12T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-03-21T12:57:09.644Z', 'updatedAt': '2024-03-21T12:57:09.644Z'}"
9939e3b9-2441-4b05-82af-348f4d96d889,1633da67-6374-4e10-a6c2-39d57b1c4529,94604d7b-7226-408c-96cc-898237a24377,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Costa Rica,Costa Rica,Costa Rica,1989413-1989422,1989413,1989422,10,2017,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/TUV10T4MUM3H4T9B2EJMMTR8Y9O17U/view.html,Unknown,Not Applicable,1712137812,2024-04-03T11:01:14.932Z,2024-04-03T11:01:14.932Z,[],"{'id': '1633da67-6374-4e10-a6c2-39d57b1c4529', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '94604d7b-7226-408c-96cc-898237a24377', 'startDate': '2014-11-30T00:00:00.000Z', 'endDate': '2018-11-30T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2007-11-30T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-03-23T21:22:55.122Z', 'updatedAt': '2024-03-23T21:22:55.122Z'}"
12f2af51-c652-4d90-a705-38b6151cf46b,d7b0e3d5-42bc-41c7-8ab2-06c2c8dbe6d7,12276578-2da8-44f2-a6b8-3d0a41df39c4,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,201035839-201360838,201035839,201360838,325000,2010,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/WOW1YYO9VEFAM3D6H2GJ4BZ4AW9YJL/view.html,Unknown,Not Applicable,1712137812,2024-04-03T11:01:15.789Z,2024-04-03T11:01:15.789Z,[],"{'id': 'd7b0e3d5-42bc-41c7-8ab2-06c2c8dbe6d7', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '12276578-2da8-44f2-a6b8-3d0a41df39c4', 'startDate': '2010-05-30T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2010-04-29T00:00:00.000Z', 'verificationBody': 'KBS', 'timeStaged': None, 'createdAt': '2024-03-21T05:43:07.355Z', 'updatedAt': '2024-03-21T05:43:07.355Z'}"
